GEOLOC_CD,MILSTAMP_CD,WTR_BDY_CD,ICAO_CD,CTRY_CD,GEOLOC_NM,GEOLOC_TY_CD,LAT_CN,LONG_CN,UPD_SOURCE,UPDATE_TIME,GEOLOC_INDX,TRX_TIME,TRX_DELETED
AGRM,   ,21,    ,KEN,Alvaton          ,CTY,36.873332,-86.353055,,0,1363,0,0
AGRS,   ,PM,MALB,PANMA,Alvaro Berroa    ,MAP,8.770277,-82.664444,,0,1364,0,0
AGSF,   ,GM,    ,GERMA,Alzenau          ,CTY,50.083333,9.083333,,0,1365,0,0
AGSR,   ,48,    ,TEX,Alvin            ,CTY,29.418054,-95.234999,,0,1366,0,0
AGSS,   ,17,    ,ILL,Alvin            ,CTY,40.316666,-87.616666,,0,1367,0,0
AGSW,   ,31,    ,NEB,Alvo             ,CTY,40.871943,-96.387221,,0,1368,0,0
AGSX,   ,54,    ,W VA,Alvon            ,CTY,37.905,-80.214444,,0,1369,0,0
AGSY,   ,19,    ,IOWA,Alvord           ,CTY,43.342221,-96.300833,,0,1370,0,0
AGT1,   ,GM,    ,GERMA,Alvin York Vil Fh,FHG,50.376943,8.745555,,0,1371,0,0
AGTC,   ,30,    ,MONT,Alzada           ,RRL,45.180554,-104.784721,,0,1372,0,0
AGTD,   ,30,    ,MONT,Alzada           ,CTY,45.180554,-104.784721,,0,1373,0,0
AGTE,   ,56,    ,WYO,Alzada Rbs 21mm8 ,COM,44.983333,-104.516666,,0,1374,0,0
AGTF,   ,GM,    ,GERMA,Alzey            ,COM,50.033333,8.566666,,0,1375,0,0
AGTG,   ,36,    ,N Y,Elisha Payne     ,APT,42.843888,-75.561666,,0,1376,0,0
AGTH,   ,GM,    ,GERMA,Am Fischtein Fh  ,FHG,50.13111,8.626388,,0,1377,0,0
AGUA,   ,RQ,    ,PUERT,Aguadilla        ,RTC,18.433333,-67.15,,0,1378,0,0
AGUJ,   ,36,    ,N Y,Amagansett       ,CTY,40.974999,-72.143333,,0,1379,0,0
AGUS,   ,5,    ,ARK,Amagon           ,CTY,35.561944,-91.110277,,0,1380,0,0
AGUW,   ,LY,HL49,LIBYA,Amal V12         ,APT,29.479443,21.122499,,0,1381,0,0
AGUX,   ,19,    ,IOWA,Amana            ,CTY,41.8,-91.870554,,0,1382,0,0
AGUY,   ,ID,    ,INDON,Amahai           ,PRT,-3.316666,128.916666,,0,1383,0,0
AGVB,   ,BR,SBAM,BRAZL,Amapa            ,APT,2.055,-50.783333,,0,1384,0,0
AGVC,   ,53,    ,WASH,Amanda Park      ,CTY,47.463333,-123.884721,,0,1385,0,0
AGVD,   ,RP,    ,PHILI,Amandayehan      ,PRT,11.266666,124.983333,,0,1386,0,0
AGVE,   ,PA,    ,PARAG,Amabay Department,AFD,-22.594444,-55.680277,,0,1387,0,0
AGVF,FA4,BR,    ,BRAZL,Amapa            ,PRT,2.066666,-50.85,,0,1388,0,0
AGVG,   ,HO,    ,HONDU,Amapala Navy Base,NBA,14.8,-87.65,,0,1389,0,0
AGVH,   ,HO,    ,HONDU,Ampala           ,AFD,13.283333,-87.617499,,0,1390,0,0
AGVJ,   ,ID,    ,INDON,Ampenan          ,PRT,-8.566666,116.066666,,0,1391,0,0
AGVK,CR5,HO,    ,HONDU,Amapala          ,PRT,13.283333,-87.65,,0,1392,0,0
AGVS,   ,28,    ,MISS,Alva             ,CTY,33.633333,-89.516666,,0,1393,0,0
AGWF,AMA,48,KAMA,TEX,Rick Husband Amar,CAP,35.219443,-101.705833,,0,1394,0,0
AGWK,   ,48,    ,TEX,Amarillo         ,COM,35.233333,-101.833333,,0,1395,0,0
AGWM,   ,48,    ,TEX,Amarillo         ,CTY,35.216666,-101.816666,,0,1396,0,0
AGWN,   ,2,    ,ALS,Alyeska          ,COM,60.958333,-149.058333,,0,1397,0,0
AGWQ,IZG,PO,LPAR,PORTU,Alverca          ,JAP,38.882777,-9.028888,,0,1398,0,0
AGWR,   ,48,    ,TEX,Amarillo Pls     ,POL,35.216666,-101.7,,0,1399,0,0
AGWS,   ,JA,    ,JAPAN,Amagasaki        ,PRT,34.693055,135.404166,,0,1400,0,0
AGWT,   ,6,KO70,CAL,Westover Field Am,APT,38.376666,-120.793888,,0,1401,0,0
AGWV,   ,48,    ,TEX,Amarillo Pantex  ,STG,35.233333,-101.833333,ILAP (name),1075769189,1402,0,0
AH1A,   ,1N,    ,NSEA,Amphib Obj Area  ,OPA,55,5,,0,1403,0,0
AH1B,   ,5N,    ,NRWGN,Amphib Obj Area  ,OPA,64,5,,0,1404,0,0
AH1C,   ,5N,    ,NRWGN,Amphib Obj Area  ,OPA,70,15,,0,1405,0,0
AH1D,   ,8E,    ,EMEDS,Amphib Obj Area  ,OPA,34,32,,0,1406,0,0
AH1E,   ,8G,    ,AGEAN,Amphib Obj Area  ,OPA,39,25,,0,1407,0,0
AH1F,   ,8D,    ,ADRTC,Amphib Obj Area  ,OPA,43,17,,0,1408,0,0
AH1G,   ,1N,    ,NSEA,Amphib Obj Area 1,SEA,55,5,,0,1409,0,0
AH1H,   ,5N,    ,NRWGN,Amphib Obj Area 2,SEA,65,5,,0,1410,0,0
AH1J,   ,5A,    ,ARTC,Amphib Obj Area 3,OCN,70,15,,0,1411,0,0
AH1K,   ,8E,    ,EMEDS,Amphib Obj Area 4,SEA,34,32,,0,1412,0,0
AH1L,   ,8G,    ,AGEAN,Amphib Obj Area 5,SEA,39,25,,0,1413,0,0
AH1M,   ,8D,    ,ADRTC,Amphib Obj Area 6,SEA,43,17,,0,1414,0,0
AH1N,   ,6M,    ,G OMN,Amphib Obj Area 7,GLF,25,58,,0,1415,0,0
AH1P,   ,6P,    ,PERSN,Amphib Obj Area 8,GLF,27,51,,0,1416,0,0
AH1Q,   ,1X,    ,CRBN,Amphib Obj Area  ,OPA,17,-75,,0,1417,0,0
AH1R,   ,6M,    ,G OMN,Amphib Obj Area  ,OPA,25,58,,0,1418,0,0
AH1S,   ,6P,    ,PERSN,Amphib Obj Area  ,OPA,27,51,,0,1419,0,0
AHAA,   ,YM,OYHT,YEMEN,Bir Hat          ,APT,17.309166,52.03111,,0,1420,0,0
AHAB,LS4,TU,    ,TURKY,Amasra           ,PRT,41.733333,32.4,,0,1421,0,0
AHFN,RL4,ID,    ,INDON,Ambon            ,PRT,-3.683333,128.15,,0,1422,0,0
AHGD,   ,SO,    ,SOMAL,Ambalio          ,AFD,5.066666,47.892777,,0,1423,0,0
AHGF,   ,18,    ,IND,Amity            ,CTY,39.42611,-86.001111,,0,1424,0,0
AHGJ,   ,FR,LFXA,FRANC,Amberieu         ,APT,45.988888,5.32861,,0,1425,0,0
AHGK,   ,21,    ,KEN,Amba             ,CTY,37.529721,-82.643055,,0,1426,0,0
AHGM,   ,JA,    ,JAPAN,Old Amami        ,APT,28.415277,129.69861,,0,1427,0,0
AHGN,VI1,IN,VIAM,INDIA,Ambala           ,MAP,30.368054,76.816666,,0,1428,0,0
AHGQ,   ,36,    ,N Y,Amawalk          ,CTY,41.166666,-74.666666,,0,1429,0,0
AHGT,MJN,MA,FMNM,MADAG,Philibert Tsirana,APT,-15.665833,46.353055,,0,1430,0,0
AHGU,   ,19,    ,IOWA,Amber            ,CTY,42.128054,-91.179999,,0,1431,0,0
AHGV,   ,40,    ,OKLA,Amber            ,CTY,35.160277,-97.878888,,0,1432,0,0
AHGW,AMB,AS,YAMB,ATRAL,Amberley         ,MAP,-27.640277,152.713888,,0,1433,0,0
AHGX,   ,53,    ,WASH,Amber            ,CTY,47.351944,-117.710555,,0,1434,0,0
AHGY,   ,AS,    ,ATRAL,Amberley         ,CTY,-27.65,152.716666,,0,1435,0,0
AHHB,   ,18,    ,IND,Ambia            ,CTY,40.489999,-87.516943,,0,1436,0,0
AHHD,   ,2,    ,ALS,Ambler           ,CTY,67.083333,-157.866666,,0,1437,0,0
AHHE,   ,FR,    ,FRANC,Ambares          ,CTY,44.95,-0.466666,,0,1438,0,0
AHHH,   ,17,    ,ILL,Amboy            ,CTY,41.716666,-89.35,,0,1439,0,0
AHHJ,   ,18,    ,IND,Amboy            ,CTY,40.601388,-85.928888,,0,1440,0,0
AHHL,   ,GM,    ,GERMA,Amberg           ,CTY,49.433333,11.866666,,0,1441,0,0
AHHM,   ,36,    ,N Y,Amboy            ,CTY,43.05,-76.283333,,0,1442,0,0
AHHN,   ,36,    ,N Y,West Point       ,SCH,41.367221,-73.966943,,0,1443,0,0
AHHP,   ,GM,    ,GERMA,Amberg Airfield  ,AFD,49.421388,11.840555,,0,1444,0,0
AHHQ,   ,53,    ,WASH,Amboy            ,CTY,45.910277,-122.445277,,0,1445,0,0
AHHR,   ,GM,    ,GERMA,Amberg Fam Hsg   ,FHG,49.432777,11.852222,,0,1446,0,0
AHHV,   ,23,    ,MNE,West Quoddy Head ,CTY,44.816666,-67.116666,,0,1447,0,0
AHHW,   ,54,    ,W VA,Amboy            ,CTY,39.348333,-79.56861,,0,1448,0,0
